stage,stage_index,run_epoch,epoch,val/auroc,val/bacc,val/loss,val/hidden_min_auroc,val/hidden_auroc_gap,val/hidden_min_bacc,train/group_dro/weight_entropy,train/group_dro/max_q,val/sex/worst_group_auroc,val/race/worst_group_auroc,val/ethnicity/worst_group_auroc,val/age_group_65/worst_group_auroc
warmup,0,0,0.0,0.8554781675338745,0.7875425219535828,0.4708840250968933,,,,,,0.8507447242736816,0.790123462677002,0.8526986837387085,0.81128990650177
warmup,0,1,1.0,0.8588103652000427,0.7874794602394104,0.46492883563041687,,,,,,0.8562166094779968,0.7716049551963806,0.8580751419067383,0.8195036053657532
stage01,1,2,0.0,0.8506112098693848,0.7826510667800903,0.4842740297317505,0.7899000644683838,0.09026265144348145,0.7102071046829224,2.301833152770996,0.10501057654619217,0.8471644520759583,0.8398268222808838,0.8479077816009521,0.8074003458023071
stage01,1,3,1.0,0.8304182291030884,0.7586138248443604,0.42272302508354187,0.7674574851989746,0.08342695236206055,0.6739171743392944,2.2995762825012207,0.11009284853935242,0.8307633399963379,0.8086419701576233,0.8176004886627197,0.799082338809967
stage02,2,4,0.0,0.8322075605392456,0.7682442665100098,0.4331790804862976,0.7676422595977783,0.0714346170425415,0.6802103519439697,2.3015923500061035,0.10741616040468216,0.8292992115020752,0.80345618724823,0.830591082572937,0.7879243493080139
stage02,2,5,1.0,0.831964373588562,0.7721298933029175,0.5087509155273438,0.7731778621673584,0.0757063627243042,0.7079554796218872,2.299680709838867,0.11162398755550385,0.8304049372673035,0.8236263990402222,0.8215024471282959,0.8025625348091125
